YMM,Trim,DriveTrain,Class,Longitude,Latitude,Year,Mileage,ListPrice,LotPrice,MSRP,MarketAveragePrice,AgeInDays,ReconditionCost,UnitCost,PotentialGross,PrimaryBookValue
2015 FIAT 500,POP,4WD, Mini-Compact Passenger Car,-117.3979,47.7552,2015,72519.0,6995.0,6995.0,7662.0,7498.0,22.0,633.45,3633.45,3361.55,5269.0
2015 Ford Edge,SEL,2WD, Sport Utility Vehicles,-123.8095,46.9768,2015,43127.0,22999.0,23695.0,23695.0,21562.6363,26.0,2225.77,20694.92,2304.08,18936.0
2015 Ford F-150,King Ranch,4WD, Standard Pickup Trucks,-122.8771,42.3556,2015,37972.0,40984.0,44999.0,40984.0,31306.7142,57.0,1882.27,40642.27,341.73,37664.0
2015 Ford F-150,XLT,4WD, Standard Pickup Trucks,-123.2585,44.5725,2015,90660.0,28997.0,28997.0,28997.0,34793.4333,29.0,125.0,22553.7,6443.3,27425.0
2015 Ford F-150,XLT,4WD, Standard Pickup Trucks,-122.8771,42.3556,2015,36986.0,26985.0,30999.0,26985.0,24998.0,57.0,1065.72,25484.47,1500.53,25888.0
2015 Ford Focus,SE,4WD, Compact Passenger Car,-114.45700000000001,42.5913,2015,29007.0,11449.0,11999.0,11999.0,10932.5555,44.0,1185.69,10794.44,654.56,9484.0
2015 Ford Super Duty F-250 SRW,XLT,4WD, Standard Pickup Trucks,-122.8771,42.3556,2015,46731.0,28985.0,32999.0,28985.0,34995.0,34.0,1422.06,26622.06,2362.94,26772.0
2015 Ford Super Duty F-350 SRW,XLT,4WD, Standard Pickup Trucks,-122.8771,42.3556,2015,75777.0,37985.0,40999.0,37985.0,43106.0,49.0,1843.3,35318.3,2666.7,35235.0
2015 GMC Sierra 1500,SLE,4WD, Standard Pickup Trucks,-149.8673,61.1381,2015,88450.5,27900.0,13950.0,0.0,32574.0,34.0,1684.86,22744.93,5530.14,25375.0
2015 GMC Yukon,SLT,4WD, Sport Utility Vehicles,-117.3979,47.7552,2015,47484.0,40995.0,40995.0,41314.0,37585.0,7.0,356.47,35356.47,5638.53,38986.0
2015 Honda CR-V,EX,4WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2015,28053.0,19999.0,20422.0,20422.0,18994.0,32.0,1107.19,17107.19,2891.81,18919.0
2015 Hyundai Accent,GS,4WD, Compact Passenger Car,-122.7711,45.4954,2015,45961.0,10990.0,10990.0,10990.0,10472.0,12.0,683.0,9208.0,1782.0,8769.0
2015 Jeep Cherokee,TRAILHAWK,2WD, Sport Utility Vehicles,-117.3979,47.7552,2015,67933.0,20995.0,20995.0,22200.0,21327.0,40.0,749.46,19389.46,1605.54,19114.0
2015 Jeep Cherokee,TRAILHAWK,4WD, Sport Utility Vehicles,-122.7711,45.4954,2015,30782.0,24990.0,26990.0,26990.0,23518.6666,78.0,852.92,25071.67,-81.67,23394.0
2015 Jeep Grand Cherokee,LAREDO,4WD, Sport Utility Vehicles,-122.7711,45.4954,2015,45121.0,26990.0,28990.0,28990.0,23188.8,135.0,1838.93,27938.93,-948.93,25183.0
2015 Jeep Grand Cherokee,LAREDO,4WD, Sport Utility Vehicles,-122.654,45.5271,2015,31945.0,28990.0,28990.0,28990.0,24333.0,49.0,1616.94,27521.94,1468.06,26501.0
2015 Jeep Grand Cherokee,LIMITED,4WD, Sport Utility Vehicles,-117.3979,47.7552,2015,62745.0,24995.0,25995.0,25850.0,26747.5,40.0,1579.07,24644.07,350.93,21307.0
2015 Jeep Patriot,ALTITUDE EDITION,4WD, Sport Utility Vehicles,-122.654,45.5271,2015,68801.0,10990.0,10990.0,10990.0,13761.0,6.0,1117.07,10617.07,372.93,9199.0
2015 Jeep Patriot,SPORT,4WD, Sport Utility Vehicles,-122.8771,42.3556,2015,65485.0,13987.0,15999.0,13987.0,13806.8,52.0,370.41,8370.41,5616.59,8839.0
2015 Jeep Renegade,LATITUDE,2WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2015,27749.0,15999.0,16449.0,16449.0,14436.0,44.0,1185.43,15070.43,928.57,14183.0
2015 Jeep Wrangler Unlimited,RUBICON,4WD, Sport Utility Vehicles,-122.8771,42.3556,2015,70214.0,32985.0,36999.0,32985.0,34070.4,65.0,2255.97,29905.97,3079.03,27994.0
2015 Jeep Wrangler Unlimited,SAHARA,4WD, Sport Utility Vehicles,-122.654,45.5271,2015,21822.0,31990.0,32990.0,32990.0,29241.25,63.0,3166.5,31201.5,788.5,29884.0
2015 Jeep Wrangler Unlimited,SAHARA,4WD, Sport Utility Vehicles,-121.2746,44.0557,2015,29431.0,31733.0,32995.0,32995.0,30163.0,5.0,236.0,27000.0,4733.0,31499.0
2015 Jeep Wrangler Unlimited,WRANGLER X,2WD, Sport Utility Vehicles,-122.654,45.5271,2015,55827.0,29990.0,29990.0,29990.0,29741.25,20.0,2639.61,27639.61,2350.39,27506.0
2015 Jeep Wrangler Unlimited,WRANGLER X,4WD, Sport Utility Vehicles,-117.3979,47.7552,2015,72067.0,26995.0,29995.0,30325.0,30441.2222,145.0,1398.19,28228.19,-1233.19,25930.0
2015 Kia Optima,EX,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2015,38452.0,18987.0,20999.0,18987.0,16086.2727,6.0,808.07,14808.07,4178.93,15756.0
2015 Kia Soul,BASE,4WD,Small Wagon,-121.2746,44.0557,2015,71121.0,9933.0,10995.0,10995.0,11860.6,11.0,544.8,8200.0,1733.0,10814.0
2015 MINI Cooper Hardtop,S,2WD, Mini-Compact Passenger Car,-122.7711,45.4954,2015,22561.0,19990.0,21990.0,21990.0,16990.0,163.0,3333.5,21195.92,-1205.92,14927.0
2015 MINI Cooper Hardtop,S,4WD, Mini-Compact Passenger Car,-122.7711,45.4954,2015,11787.0,16990.0,19990.0,19990.0,19990.0,90.0,1427.73,17250.63,-260.63,14905.0
2015 MINI Cooper Hardtop 4 Door,S,4WD, Mini-Compact Passenger Car,-122.7711,45.4954,2015,28819.5,16240.0,18490.0,18490.0,16240.0,144.0,1810.58,17705.08,-1465.08,14016.5
2015 Mazda MAZDA3,i Grand Touring,4WD, Compact Passenger Car,-122.8771,42.3556,2015,34526.0,16986.0,18999.0,16986.0,15945.5,38.0,1543.55,14131.05,2854.95,13889.0
2015 Nissan Altima,2.5,2WD, Mid-Size Passenger Car,-114.45700000000001,42.5913,2015,62796.0,12500.0,12500.0,12500.0,13913.8333,4.0,1085.49,7085.49,5414.51,10020.0
2015 Nissan LEAF,S,4WD, Mid-Size Passenger Car,-122.654,45.5271,2015,39013.0,11890.0,12390.0,12390.0,11484.75,68.0,965.2,10740.2,1149.8,9476.0
2015 Nissan Murano,S,4WD,Mid-Size Wagon,-123.0815,44.0588,2015,29958.5,19745.0,22249.5,22497.0,23929.3846,52.5,1150.0900000000001,18902.59,842.4100000000001,17267.5
2015 Nissan Murano,SL,4WD,Mid-Size Wagon,-123.0095,44.9123,2015,21252.0,23885.0,25999.0,25999.0,23610.923,14.0,150.0,21869.28,2015.72,18009.0
2015 Nissan Rogue,S,4WD, Sport Utility Vehicles,-123.0815,44.0588,2015,78715.5,16586.5,18105.0,0.0,17912.875,28.0,792.56,12941.279999999999,3645.2200000000003,12239.5
2015 Nissan Xterra,X,4WD, Sport Utility Vehicles,-122.8771,42.3556,2015,34111.0,21987.0,23999.0,21987.0,21745.0,10.0,1311.23,17311.23,4675.77,18799.0
2015 Ram 1500,SLT,2WD, Standard Pickup Trucks,-117.3979,47.7552,2015,35462.0,26995.0,26995.0,28344.0,25984.5,40.0,567.54,23680.04,3314.96,24364.0
2015 Ram 1500,SLT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2015,48525.0,24495.0,25495.0,30938.5,25817.8333,43.0,508.68499999999995,21524.309999999998,2970.6899999999996,23284.5
2015 Ram 1500,SPORT,2WD, Standard Pickup Trucks,-122.654,45.5271,2015,62104.0,28490.0,29490.0,29490.0,30254.1,92.0,2564.11,29479.11,-989.11,25292.0
2015 Ram 3500,Tradesman,4WD, Standard Pickup Trucks,-117.3979,47.7552,2015,47580.0,28995.0,32995.0,35175.0,29998.0,70.0,464.0,25464.0,3531.0,32489.0
2015 Subaru Legacy,2.5I PREMIUM,4WD, Mid-Size Passenger Car,-122.7711,45.4954,2015,39395.0,15990.0,18990.0,18990.0,16089.0588,135.0,1439.65,17227.15,-1237.15,14139.0
2015 Toyota Camry,SE,4WD, Mid-Size Passenger Car,-122.5688,45.6611,2015,40678.0,17981.0,17981.0,28115.0,16001.0,18.0,140.0,15537.5,2443.5,17033.0
2015 Toyota Corolla,LE ECO,4WD, Compact Passenger Car,-122.5688,45.6611,2015,58953.0,14521.0,14521.0,20164.0,13733.0,18.0,160.0,11276.58,3244.42,13577.0
2015 Toyota Prius,FOUR,4WD, Mid-Size Passenger Car,-122.654,45.5271,2015,50915.0,16990.0,16990.0,16990.0,17636.4814,56.0,1186.75,15201.75,1788.25,14847.0
2015 Toyota RAV4,XLE,4WD, Sport Utility Vehicles,-123.8016,46.9674,2015,35629.0,19499.0,20942.0,20942.0,20583.75,107.0,1895.63,20765.88,-1266.88,18106.0
2015 Toyota Tundra 4WD,LTD,4WD, Standard Pickup Trucks,-122.7711,45.4954,2015,38836.0,34490.0,34990.0,34990.0,33791.5,40.0,1279.2,31929.2,2560.8,31671.0
2015 Toyota Tundra 4WD,SR5,4WD, Standard Pickup Trucks,-123.0095,44.9123,2015,43785.0,32885.0,34999.0,34999.0,32643.3636,4.0,150.0,438.53,32446.47,30317.0
2015 Volkswagen Jetta,1.8T SE,4WD, Compact Passenger Car,-122.654,45.5271,2015,87690.0,10990.0,10990.0,10990.0,11317.4,19.0,1327.49,7827.49,3162.51,8226.0
2015 Volkswagen Jetta,1.8T SE,4WD, Compact Passenger Car,-117.3979,47.7552,2015,66433.0,10995.0,10995.0,11461.0,12742.3333,46.0,1540.52,9096.77,1898.23,9145.0
2016 Chevrolet Cruze,LT,4WD, Compact Passenger Car,-117.3979,47.7552,2016,30988.0,12995.0,12995.0,13894.0,13918.125,20.0,670.06,9670.06,3324.94,11671.0
2016 Chevrolet Impala,LT,4WD, Large Passenger Car,-117.3979,47.7552,2016,36430.0,14995.0,17995.0,18100.0,18498.0,145.0,780.13,16130.13,-1135.13,16277.0
2016 Chevrolet Malibu,LTZ,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2016,43659.0,15985.0,18999.0,16985.0,15660.3333,28.0,614.52,14189.52,1795.48,13826.0
2016 Chevrolet Silverado 1500,LT,4WD, Standard Pickup Trucks,-123.8016,46.9674,2016,48468.0,27033.0,27033.0,27033.0,29999.0,8.0,105.0,22900.0,4133.0,24250.0
2016 Chevrolet Tahoe,LTZ,4WD, Sport Utility Vehicles,-122.8771,42.3556,2016,49600.0,43985.0,48999.0,43985.0,43457.75,57.0,1423.93,40586.43,3398.57,41913.0
2016 Chrysler 200,LIMITED,4WD, Mid-Size Passenger Car,-114.45700000000001,42.5913,2016,35453.0,13999.0,13999.0,13999.0,14250.0,50.0,1151.58,12612.83,1386.17,11923.0
2016 Dodge Charger,R/T,4WD, Large Passenger Car,-122.654,45.5271,2016,49058.0,22790.0,22790.0,22790.0,25814.0,53.0,1396.99,19896.99,2893.01,20828.0
2016 Dodge Grand Caravan,SXT,4WD, Minivans,-117.3979,47.7552,2016,32657.0,15995.0,19995.0,18303.0,15774.4,181.0,450.59,16275.59,-280.59,15528.0
2016 Ford C-Max Hybrid,SEL,2WD, Large Passenger Car,-122.8771,42.3556,2016,42157.0,16995.0,20999.0,16995.0,18793.0,33.0,566.09,15191.09,1803.91,14924.0
2016 Ford Edge,SEL,4WD, Sport Utility Vehicles,-123.8095,46.9768,2016,30685.0,24510.0,24510.0,24510.0,23222.1538,7.0,1447.23,21863.66,2646.34,21444.0
2016 Ford Escape,SE,4WD, Sport Utility Vehicles,-123.8095,46.9768,2016,31906.0,17008.5,18506.5,18506.5,17384.99165,63.0,1969.46,16997.59,10.909999999999968,15076.0
2016 Ford Explorer,XLT,4WD, Sport Utility Vehicles,-122.8771,42.3556,2016,24936.0,29985.0,33999.0,29985.0,25902.8,57.0,1530.2,28463.45,1521.55,25895.0
2016 Ford F-150,LARIAT,4WD, Standard Pickup Trucks,-123.8095,46.9768,2016,40402.0,37996.0,40995.0,40995.0,36917.0833,54.0,3466.39,37949.09,46.91,35368.0
2016 Ford F-150,XLT,4WD, Standard Pickup Trucks,-123.8095,46.9768,2016,21592.0,33439.0,36985.0,36985.0,31359.8181,55.0,1507.28,32192.38,1246.62,31097.0
2016 Ford F-150,XLT,4WD, Standard Pickup Trucks,-122.654,45.5271,2016,40206.0,27995.0,30990.0,30990.0,36164.8333,86.0,2200.34,29400.34,-1405.34,28838.0
2016 Ford Flex,Limited w/EcoBoost,4WD, Sport Utility Vehicles,-122.8771,42.3556,2016,51920.0,26985.0,29999.0,26985.0,29873.5,30.0,1486.52,24547.17,2437.83,24251.0
2016 Ford Focus,SE,4WD, Compact Passenger Car,-121.7555,42.2011,2016,16468.0,13227.0,14995.0,14995.0,12167.0,56.0,881.35,11475.1,1751.9,10297.0
2016 Ford Fusion,SE,4WD, Mid-Size Passenger Car,-123.8095,46.9768,2016,23879.0,17238.333333333332,17364.666666666668,17170.5,14606.191333333334,21.5,1088.96,14127.845000000001,2853.155,14145.666666666666
2016 Ford Mustang,EcoBoost Premium,4WD, Sub-Compact Passenger Car,-122.8771,42.3556,2016,18009.0,21984.0,25999.0,21984.0,21448.25,57.0,1103.24,21254.74,729.26,20117.0
2016 Ford Super Duty F-250 SRW,XLT,4WD, Standard Pickup Trucks,-122.8771,42.3556,2016,64977.0,31986.0,17499.5,15993.0,37824.0,11.0,1897.9,26448.95,4088.1,28438.0
2016 Ford Transit Connect,Titanium,4WD, Minivans,-122.8771,42.3556,2016,7503.0,23985.0,27999.0,23985.0,22995.0,57.0,995.15,22473.2,1511.8,21606.0
2016 Honda Accord,LX,2WD, Mid-Size Passenger Car,-122.8771,42.3556,2016,43224.0,16984.0,20999.0,16984.0,17139.55,78.0,411.14,16088.89,895.11,14703.0
2016 Honda CR-V,TOURING,4WD, Sport Utility Vehicles,-122.654,45.5271,2016,21879.0,26890.0,27490.0,27490.0,28341.0,61.0,1051.81,26356.81,533.19,25247.0
2016 Hyundai Accent,SE,4WD, Compact Passenger Car,-123.8016,46.9674,2016,34184.0,10244.0,10244.0,10244.0,10529.6666,38.0,1068.79,9218.79,1025.21,8349.0
2016 Hyundai Elantra,SE,4WD, Mid-Size Passenger Car,-123.2585,44.5725,2016,111766.0,11997.0,11997.0,11997.0,11679.0434,4.0,220.0,6075.0,5922.0,8850.0
2016 Jeep Cherokee,SPORT,4WD, Sport Utility Vehicles,-123.1763,44.0487,2016,64934.0,15886.0,16999.0,16999.0,16801.6666,6.0,236.0,12070.0,3816.0,14169.0
2016 Jeep Compass,LATITUDE,2WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2016,39114.0,14999.0,16623.0,16623.0,18998.0,85.0,1265.74,14413.99,585.01,14306.0
2016 Jeep Compass,SPORT,4WD, Sport Utility Vehicles,-122.654,45.5271,2016,40089.0,14990.0,15990.0,15990.0,14470.5,83.0,1538.58,15053.58,-63.58,13636.0
2016 Jeep Patriot,SPORT,4WD, Sport Utility Vehicles,-117.3979,47.7552,2016,25736.0,11995.0,13995.0,14145.0,12499.0,68.0,1307.61,11057.51,937.49,11747.0
2016 Kia Sorento,LX,4WD, Sport Utility Vehicles,-123.0095,44.9123,2016,33326.0,18885.0,24995.0,24995.0,18131.8571,538.0,236.67,14906.56,3978.44,15117.0
2016 Kia Soul,Base,4WD,Small Wagon,-122.8771,42.3556,2016,66936.0,12985.0,14999.0,12985.0,13233.1538,29.0,666.71,10504.21,2480.79,9501.0
2016 MINI Cooper Clubman,S,4WD, Sub-Compact Passenger Car,-122.7711,45.4954,2016,23920.0,23690.0,24390.0,24990.0,23207.18094,53.0,1384.3799999999999,21157.25,2532.75,21597.0
2016 MINI Cooper Countryman,S,2WD, Compact Passenger Car,-122.7711,45.4954,2016,33163.0,21656.666666666668,22990.0,23990.0,21316.466666666667,70.66666666666667,1454.12,19661.203333333335,1995.4633333333331,18627.666666666668
2016 MINI Cooper Hardtop, ,2WD, Mini-Compact Passenger Car,-122.7711,45.4954,2016,22861.0,18790.0,18990.0,20700.0,17490.0,33.0,2385.93,16235.93,2554.07,13180.0
2016 Mazda CX-3,Grand Touring,4WD, Sport Utility Vehicles,-123.8016,46.9674,2016,39227.0,19996.0,20307.0,20307.0,19898.0,33.0,1036.01,18781.01,1214.99,18300.0
2016 Mazda CX-5,GRAND TOURING,2WD, Sport Utility Vehicles,-122.7711,45.4954,2016,19922.0,22490.0,25990.0,25990.0,23175.1805,105.0,935.43,23661.68,-1171.68,23514.0
2016 Mazda CX-5,Sport,2WD, Sport Utility Vehicles,-122.8771,42.3556,2016,19801.0,19986.0,21999.0,19986.0,18545.0,21.0,1380.17,16486.42,3499.58,17028.0
2016 Mazda CX-5,TOURING,4WD, Sport Utility Vehicles,-121.7555,42.2011,2016,44333.0,18668.0,19995.0,19995.0,20814.8888,74.0,1174.4,17268.15,1399.85,17467.0
2016 Mazda CX-5,Touring,4WD, Sport Utility Vehicles,-122.8771,42.3556,2016,35162.0,21987.0,23999.0,21987.0,20603.0,6.0,1127.86,17127.86,4859.14,18199.0
2016 Nissan Altima,2.5 SL,4WD, Mid-Size Passenger Car,-122.7711,45.4954,2016,2271.0,17990.0,18990.0,18990.0,17347.0909,55.0,415.64,16871.89,1118.11,16226.0
2016 Nissan LEAF,S,4WD, Mid-Size Passenger Car,-123.1763,44.0487,2016,33165.0,12986.0,15999.0,15999.0,15056.5454,13.0,237.74,10820.0,2166.0,10442.0
2016 Nissan Maxima,3.5 SR,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2016,40070.0,19984.0,23999.0,20985.0,21959.7777,28.0,1099.48,19099.48,884.52,19034.0
2016 Nissan Pathfinder,PLATINUM,4WD, Sport Utility Vehicles,-122.7711,45.4954,2016,42231.0,26790.0,26990.0,26990.0,21316.0526,32.0,1205.28,23486.53,3303.47,23875.0
2016 Ram 1500,LARAMIE,4WD, Standard Pickup Trucks,-117.3979,47.7552,2016,40988.0,37495.0,37495.0,37731.0,35183.875,21.5,803.73,32151.865,5343.135,33651.5
2016 Ram 1500,LONGHORN,4WD, Standard Pickup Trucks,-114.45700000000001,42.5913,2016,65184.5,32969.0,33309.5,32915.0,31078.0,31.0,1638.92,28913.92,4055.08,29230.0
2016 Ram 1500,REBEL,4WD, Standard Pickup Trucks,-114.45700000000001,42.5913,2016,75066.0,31297.0,31297.0,31297.0,33000.0,1.0,884.1,26884.1,4412.9,27907.0
2016 Ram 1500,SLT,4WD, Standard Pickup Trucks,-122.8771,42.3556,2016,45195.0,26985.0,30999.0,26985.0,28531.9166,56.0,962.7,24225.2,2759.8,23830.0
2016 Ram 1500,SPORT,4WD, Standard Pickup Trucks,-114.45700000000001,42.5913,2016,34818.0,32999.0,33449.0,33449.0,31609.3333,40.0,2432.33,30717.33,2281.67,29005.0
2016 Ram 3500,Tradesman,4WD, Standard Pickup Trucks,-121.7547,42.2076,2016,34526.0,42997.0,42997.0,42997.0,39995.0,26.0,2392.0,38892.0,4105.0,39114.0
2016 Ram ProMaster City,TRADESMAN SLT,4WD,Cargo Vans,-122.654,45.5271,2016,37598.0,17990.0,17990.0,17990.0,17297.3333,34.0,973.77,16808.77,1181.23,15907.0
2016 Subaru Legacy,2.5I PREMIUM,4WD, Mid-Size Passenger Car,-122.7711,45.4954,2016,25198.0,17990.0,18990.0,18990.0,17938.44,79.0,892.09,18254.59,-264.59,15991.0
2016 Toyota 4Runner,SR5 Premium,4WD, Sport Utility Vehicles,-123.8016,46.9674,2016,37384.0,33118.0,33118.0,33118.0,34919.1111,11.0,863.0,31233.0,1885.0,31103.0
2016 Toyota Avalon,XLE,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2016,39334.0,16995.0,19995.0,20507.0,21828.6666,70.0,463.29,16900.79,94.21,18360.0
2016 Toyota Corolla,S PLUS,4WD, Compact Passenger Car,-122.5688,45.6611,2016,32210.5,17801.0,8900.5,0.0,15351.33905,18.0,190.0,15008.975,1813.05,16440.5
2016 Toyota Corolla,S Premium,2WD, Compact Passenger Car,-122.8771,42.3556,2016,11627.0,17985.0,20999.0,17985.0,15321.1666,48.0,187.67,15281.42,2703.58,15759.0
2016 Toyota Highlander,XLE,4WD, Sport Utility Vehicles,-122.5688,45.6611,2016,38971.666666666664,31224.333333333332,33780.333333333336,40462.0,32645.50973333333,10.0,100.0,28785.36666666667,2438.9666666666667,30266.666666666668
2016 Toyota Prius V,FIVE,4WD,Mid-Size Wagon,-122.654,45.5271,2016,56668.0,20990.0,20990.0,20990.0,21543.8,27.0,2869.78,18869.78,2120.22,18554.0
2016 Toyota RAV4,SE,2WD, Sport Utility Vehicles,-122.5688,45.6611,2016,53710.0,24351.0,24351.0,32159.0,24680.5714,16.0,85.0,21644.53,2706.47,22524.0
2016 Toyota RAV4,XLE,4WD, Sport Utility Vehicles,-123.0815,44.0588,2016,43924.0,20988.0,20495.0,20495.0,23191.3333,11.0,1726.73,18896.73,2091.27,18639.0
2016 Toyota Tacoma,TRD Off Road,4WD, Small Pickup Trucks,-122.8771,42.3556,2016,23815.0,33985.0,37999.0,33985.0,33369.7777,46.0,1043.44,31255.94,2729.06,31780.0
2016 Toyota Tacoma,TRD SPORT,4WD, Small Pickup Trucks,-117.3979,47.7552,2016,54632.0,30995.0,30995.0,31175.0,32038.8333,13.0,612.13,27012.13,3982.87,28215.0
2016 Toyota Tundra 4WD,SR5,4WD, Standard Pickup Trucks,-122.5688,45.6611,2016,31958.5,36746.0,36746.0,42674.0,36006.7777,8.5,136.5,31457.739999999998,5288.26,35362.0
2016 Volkswagen Jetta,1.4T SE,4WD, Compact Passenger Car,-122.654,45.5271,2016,41214.0,12990.0,12990.0,12990.0,12843.8,4.0,866.9,10366.9,2623.1,11490.0
2017 Chevrolet Camaro,LS,4WD, Sub-Compact Passenger Car,-123.8016,46.9674,2017,42960.0,17999.0,18479.0,18479.0,20425.5,33.0,1331.63,15036.63,2962.37,16086.0
2017 Chevrolet Colorado,4WD Z71,4WD, Small Pickup Trucks,-149.8673,61.1381,2017,9615.0,32575.0,32575.0,32615.0,30999.0,26.0,1283.55,28883.55,3691.45,30675.0
2017 Chevrolet Cruze,LT,2WD, Compact Passenger Car,-122.8771,42.3556,2017,35504.0,11984.0,16999.0,11984.0,15025.7209,112.0,1062.36,12871.36,-887.36,12047.0
2017 Chevrolet Cruze,LT,4WD, Compact Passenger Car,-114.45700000000001,42.5913,2017,39606.0,12999.0,13999.0,13999.0,14265.5277,56.0,1223.97,11930.22,1068.78,12057.0
2017 Chevrolet Impala,LT,4WD, Large Passenger Car,-114.45700000000001,42.5913,2017,52024.0,15449.0,15999.0,15999.0,16179.9444,44.0,1898.28,15033.28,415.72,14289.0
2017 Chevrolet Silverado 1500,LT,4WD, Standard Pickup Trucks,-149.866,61.1334,2017,17446.5,34095.0,34095.0,34275.0,36114.99995,14.5,1183.54,29591.77,4503.23,32200.0
2017 Chevrolet Silverado 1500,LTZ,4WD, Standard Pickup Trucks,-123.2585,44.5725,2017,25973.0,42997.0,42997.0,42997.0,37793.5,19.0,39.0,34166.62,8830.38,39025.0
2017 Chevrolet Traverse,LT,4WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2017,44051.0,21999.0,27974.0,27974.0,23437.5,173.0,1161.37,24285.12,-2286.12,21417.0
2017 Chrysler Pacifica,TOURING,4WD, Minivans,-122.654,45.5271,2017,32621.0,20990.0,21990.0,21990.0,22200.0,68.0,1064.17,18008.17,2981.83,19112.0
2017 Dodge Challenger,SXT,4WD, Mid-Size Passenger Car,-122.8771,42.3556,2017,20634.0,22985.0,26999.0,22985.0,20011.2,39.0,1600.03,20593.78,2391.22,22494.0
2017 Dodge Durango,SXT,4WD, Sport Utility Vehicles,-149.866,61.1334,2017,71917.0,26195.0,26795.0,26200.0,27749.5,33.0,1333.21,21333.21,4861.79,22725.0
2017 Dodge Grand Caravan,SXT,4WD, Minivans,-123.8095,46.9768,2017,44714.0,16802.666666666668,18134.666666666668,18134.666666666668,16846.88753333333,30.0,1126.9433333333334,15103.276666666667,1699.39,15041.333333333334
2017 Dodge Grand Caravan,SXT,4WD, Minivans,-123.8016,46.9674,2017,43963.0,16954.0,16954.0,16954.0,16264.1935,8.0,1234.36,15587.76,1366.24,15063.0
2017 Dodge Journey,GT,2WD, Sport Utility Vehicles,-122.7711,45.4954,2017,10084.0,21490.0,25990.0,25990.0,22900.0,155.0,905.75,23940.75,-2450.75,19344.0
2017 Ford Escape,S,4WD, Sport Utility Vehicles,-122.8771,42.3556,2017,24615.0,15985.0,18999.0,15985.0,16475.5,37.0,945.54,14726.79,1258.21,13814.0
2017 Ford Escape,SE,2WD, Sport Utility Vehicles,-122.8771,42.3556,2017,30974.0,18985.0,21999.0,18985.0,17628.5,32.0,1042.76,16061.51,2923.49,16178.0
2017 Ford Escape,SE,4WD, Sport Utility Vehicles,-123.1763,44.0487,2017,36994.0,17941.0,21499.0,21499.0,17589.63155,62.5,237.56,16673.305,1267.695,18138.5
2017 Ford Escape,SE,4WD, Sport Utility Vehicles,-122.8771,42.3556,2017,13836.0,21987.0,23999.0,21987.0,19714.7777,12.0,1032.35,17032.35,4954.65,18400.0
2017 Ford Escape,SE,4WD, Sport Utility Vehicles,-114.45700000000001,42.5913,2017,56553.0,17871.0,17871.0,17871.0,18653.6666,36.0,1740.98,14840.98,3030.02,14797.0
2017 Ford Explorer,XLT,4WD, Sport Utility Vehicles,-123.8095,46.9768,2017,52872.0,23899.0,27985.0,27985.0,27219.7826,61.0,1736.15,22578.8,1320.2,22125.0
2017 Ford Explorer,XLT,4WD, Sport Utility Vehicles,-117.3979,47.7552,2017,32872.0,23495.0,28995.0,27443.0,26354.2,116.0,450.59,24555.59,-1060.59,24213.0
2017 Ford F-150,XLT,4WD, Standard Pickup Trucks,-121.7555,42.2011,2017,14548.0,29948.0,39940.0,39940.0,32790.25,69.0,866.3,26947.55,3000.45,28227.0
2017 Ford F-150,XLT,4WD, Standard Pickup Trucks,-117.3979,47.7552,2017,25895.0,26995.0,31995.0,31287.0,30785.0,160.0,677.18,27329.68,-334.68,27305.0
2017 Ford Fiesta,SE,4WD, Sub-Compact Passenger Car,-123.8095,46.9768,2017,8998.0,11999.0,14997.0,14595.0,11254.8333,68.0,673.57,11348.57,650.43,10552.0
2017 Ford Fiesta,SE,4WD, Sub-Compact Passenger Car,-123.4436,46.9971,2017,24610.0,12289.0,14995.0,14995.0,11529.76,156.0,14995.0,11011.66,1277.34,12631.0
2017 Ford Focus,SE,2WD, Compact Passenger Car,-122.654,45.5271,2017,19792.0,13990.0,13990.0,13990.0,12154.6666,16.0,1766.26,10766.26,3223.74,11694.0
2017 Ford Focus,SE,4WD, Compact Passenger Car,-122.7711,45.4954,2017,42851.0,10990.0,13990.0,13990.0,12573.0736,92.0,752.95,11659.2,-669.2,10625.0
2017 Ford Focus,SE,4WD, Compact Passenger Car,-114.45700000000001,42.5913,2017,42174.0,10999.0,14146.0,14146.0,11970.8333,172.0,1205.94,12393.44,-1394.44,10344.0
2017 Ford Fusion,HYBRID SE,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2017,39644.0,15995.0,15995.0,16750.0,15887.0,27.0,1332.44,14951.19,1043.81,13972.0
2017 Ford Fusion,SE,4WD, Mid-Size Passenger Car,-117.3979,47.7552,2017,13757.0,17995.0,17995.0,18672.0,16725.6666,27.0,674.17,14174.17,3820.83,15208.0
